Time,SNN_Lat,ANN_Lat,R,G,B,SNN_Act,ANN_Act
18.425,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
18.48,8.0,1652.0,0.0,0.0,0.0,2.0,2.0
18.535,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
18.59,8.0,1652.0,0.0,0.0,0.0,2.0,2.0
18.645,8.0,1656.0,0.0,0.0,0.0,2.0,2.0
18.7,8.0,1652.0,0.0,0.0,0.0,2.0,2.0
18.755,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
18.81,8.0,1652.0,0.0,0.0,0.0,2.0,2.0
18.865,12.0,1652.0,0.0,0.0,0.0,2.0,2.0
18.92,12.0,1652.0,0.0,0.0,0.0,2.0,2.0
18.975,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
19.03,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
19.085,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
19.14,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
19.195,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
19.25,12.0,1648.0,0.0,0.0,0.0,2.0,2.0
19.305,12.0,1648.0,0.0,0.0,0.0,2.0,2.0
19.36,12.0,1708.0,0.13,0.0,0.0,2.0,2.0
19.415,5632.0,1628.0,0.29,0.0,0.0,2.0,2.0
19.47,5648.0,1660.0,0.38,0.0,0.0,2.0,2.0
19.525,6252.0,1740.0,0.48,0.0,0.02,2.0,2.0
19.580000000000002,6272.0,1752.0,0.61,0.0,0.19,0.0,2.0
19.635,6272.0,1792.0,0.63,0.0,0.24,0.0,2.0
19.69,6276.0,1772.0,0.6,0.0,0.24,0.0,2.0
19.745,6308.0,1764.0,0.56,0.0,0.23,0.0,2.0
19.8,6204.0,1772.0,0.49,0.0,0.18,0.0,2.0
19.855,6204.0,1772.0,0.49,0.0,0.18,0.0,2.0
19.91,6240.0,1772.0,0.5,0.0,0.19,0.0,2.0
19.965,6232.0,1764.0,0.5,0.0,0.21,0.0,2.0
20.02,6208.0,1768.0,0.49,0.0,0.18,0.0,2.0
20.075,6256.0,1764.0,0.5,0.0,0.18,0.0,2.0
20.13,6256.0,1820.0,0.67,0.0,0.24,0.0,2.0
20.185,5676.0,1664.0,0.37,0.0,0.0,0.0,2.0
20.24,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
20.295,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
20.35,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
20.405,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
20.46,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
20.515,12.0,1648.0,0.0,0.0,0.0,0.0,2.0
20.57,8.0,1656.0,0.0,0.0,0.0,0.0,2.0
20.625,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
20.68,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
20.735,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
20.79,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
20.845,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
20.9,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
20.955000000000002,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
21.01,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
21.065,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
21.12,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
21.175,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
21.23,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
21.285,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
21.34,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
21.395,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
21.45,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
21.505,12.0,1648.0,0.0,0.0,0.0,0.0,2.0
21.56,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
21.615,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
21.67,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
21.725,8.0,1656.0,0.0,0.0,0.0,0.0,2.0
21.78,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
21.835,8.0,1656.0,0.0,0.0,0.0,0.0,2.0
21.89,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
21.945,8.0,1648.0,0.0,0.0,0.0,0.0,2.0
22.0,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
22.055,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
22.11,8.0,1656.0,0.0,0.0,0.0,0.0,2.0
22.165,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
22.22,8.0,1656.0,0.0,0.0,0.0,0.0,2.0
22.275,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
22.330000000000002,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
22.385,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
22.44,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
22.495,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
22.55,8.0,1656.0,0.0,0.0,0.0,0.0,2.0
22.605,12.0,1648.0,0.0,0.0,0.0,0.0,2.0
22.66,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
22.715,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
